1282372997697994753 2020-07-12 13:55:22 -0400 <hamzabhatti__> when india try to understand China 😂😂😂😂 #IndiaChina  pic.twitter.com/flFcM5V3q4
1282351732102623232 2020-07-12 12:30:52 -0400 <nootannayak> India to buy Assault Rifles from USA . But let's see the best we have.. Comments allowed if you think something else is best than Vidhwansak Bolt Action Rifle.  #IndianArmy  , #IndiaChinaFaceOff, #IndiaChinaStandoff  , #IndiaChina , #India pic.twitter.com/4FQHqNI9q7
1282306964391751680 2020-07-12 09:32:59 -0400 <kusum_nair> Nishant Verma's open challenge to #ModiJee & #AmitShah #IndiaChina #IndiaChinaFaceOff @INCIndia @iamcongres @IndianPartisans @PVasanthibai @Rosocog @Mahatma_2Gandhi @RahulGandhi @BhatiaRaymond @Proffes10223951 @IYC @MamataOfficial @LoveInd90392728 @TOIIndiaNews @toi @avsviks pic.twitter.com/lPjMg05Zjf
1282260916076085249 2020-07-12 06:30:00 -0400 <FBythepeople> "Is China behind Nepal-India rift.........?"  The meeting between China's Ambassador to Nepal Hou Yanqi and senior NCP leader Madhav Kumar Nepal is signalling towards Beijing's increased involvement in the Himalayan nation's internal affairs #IndiaChina #IndiaNepal #IndiaFirst pic.twitter.com/bJRFcJfNsZ
1282230885576777735 2020-07-12 04:30:40 -0400 <Hur_Says> Our message to India! What should they do against China?  New video live now. Pls share and spread awareness.  #ladakh #indiachina #loveforall #arnabgoswami https://youtu.be/x4nFGBWqoNo 
1282203494854819841 2020-07-12 02:41:50 -0400 <veekay122002> Some good read for the neo satellite experts in the country. Aka few Shuklas and many many pseudo experts in the country.. A brilliant pragmatic objective take on the #GalwanValleyClash #indiachina 👌🇮🇳  pic.twitter.com/wMB4VBWIVV
1282191032730267648 2020-07-12 01:52:18 -0400 <Poornimasingh24> NIA Advisor- Shivshankar Menon #NIA #IndiaChinaBorderTension #indiachina #relations #RESET #ShivshankarMenon pic.twitter.com/4KBEgY3Ead
1282173895852744704 2020-07-12 00:44:13 -0400 <NazariyaZ> India has no doubt fallen into China's trap of "boundary disputes" and as a by product came issues with Nepal. But aren't we forgetting something so intricate and strategically important? Well let's check it out:  https://youtu.be/FnW4cZYjjaw  @PMOIndia @ndtv @PTI_News #IndiaChina
1282154777330085888 2020-07-11 23:28:14 -0400 <bimalpandia> Superb interview of @ajaishukla by #KaranThapar on China's intrusion and lies by govt and media. All India lovers, all #DeshBhakts should watch it.  #IndiaChina  https://youtu.be/vJuUj54ILos 
1282076188014510080 2020-07-11 18:15:57 -0400 <FieryINTJ> All that hate incited by CCP & Media. As a new Nepalis, we should always help fellow Nepalis in tough times. We pray for you <3. #Modi #NepalIndiaBorder #Nepal #IndiaChina #PMOfIndia In real life, India & Nepal does not have a border, so why hate? ❤️ pic.twitter.com/fEAULuyhlg
1282024562436083712 2020-07-11 14:50:49 -0400 <naashonomics> #IndiaChina #BoycottChina #ChinaProducts Can #India Bear '#China Boycott' Call?: https://www.youtube.com/watch?v=fBdPsFVHalM …
